codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201104212934748,ACIDENTE,PERDA DE CONTROLE EM VOO,MANAUS,AM,SBEG,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,7.0,9,2011-04-21 18:51:00
201106253358403,INCIDENTE,OUTROS,MANAUS,AM,SBEG,AVIÃO,TURBOÉLICE,2.0,BRASIL,TÁXI AÉREO,SUBIDA,TÁXI AÉREO,NaN,0,2011-06-25 18:42:00
201303166079318,INCIDENTE,OUTROS,MANAUS,AM,SBEG,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,APROXIMAÇÃO FINAL,VOO REGULAR,NaN,0,2013-03-16 11:36:00
201301249165221,ACIDENTE,PERDA DE CONTROLE EM VOO,MANAUS,AM,SWFN,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,ARREMETIDA NO AR,TÁXI AÉREO,NaN,1,2013-01-24 20:15:00
201009242818417,INCIDENTE,COM TREM DE POUSO,MANAUS,AM,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2010-09-24 10:40:00
201307136157638,INCIDENTE,ESTOURO DE PNEU,MANAUS,AM,SBEG,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,OPERAÇÃO DE SOLO,VOO PRIVADO,NaN,0,2013-07-13 20:00:00
201612080047033,ACIDENTE,FALHA DO MOTOR EM VOO,MANAUS,AM,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,6.0,0,2016-12-07 11:50:00
201705291737328,INCIDENTE,ESTOURO DE PNEU,MANAUS,AM,SWFN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,VOO PRIVADO,NaN,0,2017-05-24 20:49:00
200808101826721,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,MANAUS,AM,SBEG,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,OPERAÇÃO DE SOLO,VOO REGULAR,NaN,0,2008-08-10 18:30:00
200803191140688,INCIDENTE,OUTROS,MANAUS,AM,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,NaN,0,2008-03-19 13:30:00
201208109111716,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,MANAUS,AM,SWFN,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,DECOLAGEM,TÁXI AÉREO,NaN,3,2012-08-10 12:20:00
201308147087362,INCIDENTE,COM TREM DE POUSO,MANAUS,AM,SBEG,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,TÁXI,VOO PRIVADO,NaN,0,2013-08-14 09:25:00
201507238127722,ACIDENTE,PERDA DE CONTROLE EM VOO,MANAUS,AM,SBEG,ANFÍBIO,TURBOÉLICE,1.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,NaN,3,2015-07-23 19:59:00
200810061089669,INCIDENTE,ESTOURO DE PNEU,MANAUS,AM,SBEG,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,TÁXI,TÁXI AÉREO,NaN,0,2008-10-06 23:17:00
201803051758245,INCIDENTE,COM TREM DE POUSO,MANAUS,AM,SBEG,AVIÃO,TURBOÉLICE,2.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,0,2018-02-24 21:05:00
201604221803007,INCIDENTE,POUSO SEM TREM,MANAUS,AM,SBEG,ANFÍBIO,TURBOÉLICE,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,0,2016-04-22 15:57:00
